uniq_idx,story,source,main_entities,sent_idx,lex_bias,bias,sentence,inf_entities,lex_entities,inf_pol,lex_pol,inf_dir,lex_dir,lex_start_ends,inf_start_ends,stance,inf_quote,article,uniq_idx
53hpo00,53,hpo,['Mike Huckabee'],0,0,0,"Mike Huckabee, the Baptist minister who became Arkansas governor, announced Tuesday he'll run for the 2016 Republican presidential nomination.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo00
53hpo01,53,hpo,['Mike Huckabee'],1,0,0,"Huckabee made the announcement in his hometown of Hope, Arkansas.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo01
53hpo02,53,hpo,['Mike Huckabee'],2,0,0,"""I am a candidate for president of the United States of America,"" he said.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo02
53hpo03,53,hpo,['Mike Huckabee'],3,0,0,"During his announcement, Huckabee said that he would ""conquer Jihadism"" and protect Social Security.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo03
53hpo04,53,hpo,['Mike Huckabee'],4,0,0,He also criticized the Supreme Court for potentially overturning bans on same-sex marriage.,[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo04
53hpo05,53,hpo,['Mike Huckabee'],5,0,0,He also said that he favored term limits for individuals in all branches of the federal government -- including the judiciary.,[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo05
53hpo06,53,hpo,['Mike Huckabee'],6,0,0,"""The Supreme Court is not the supreme being,"" he said.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo06
53hpo07,53,hpo,['Mike Huckabee'],7,0,0,"Huckabee, 59, quit his job hosting his own Fox News show, ""Huckabee,"" in January.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo07
53hpo08,53,hpo,['Mike Huckabee'],8,0,0,"Last month, he began plotting campaign strategy and hiring staff.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo08
53hpo09,53,hpo,['Mike Huckabee'],9,0,0,Huckabee ran for president in 2008.,[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo09
53hpo10,53,hpo,['Mike Huckabee'],10,1,0,"He joins an already crowded 2016 Republican field, and will likely enlist support from the party's far right wing, where he faces competition from Sen. Ted Cruz (R-Texas), who has positioned himself as a tea party favorite.",[],['Mike Huckabee'],[],['Negative'],[],['Indirect (General)'],"[(99, 108)]",[],Center,[],53hpo,53hpo10
53hpo11,53,hpo,['Mike Huckabee'],11,0,0,"Huckabee said on CBS's ""Face the Nation"" last month that he's confident he can broaden his appeal beyond evangelical Christians and social conservatives to reach working-class Republicans concerned about the economy.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo11
53hpo12,53,hpo,['Mike Huckabee'],12,0,0,"""There's a real sense in the Republican Party that there's no one speaking, not only to them, but speaking for them,"" Huckabee said then.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo12
53hpo13,53,hpo,['Mike Huckabee'],13,0,0,"""And if someone can capture both the blue-collar, working-class Republicans, the conservatives, many of them even union members, as well as evangelicals, there's a real pathway to the nomination.""",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo13
53hpo14,53,hpo,['Mike Huckabee'],14,0,1,"Huckabee, an ordained Southern Baptist minister, is a celebrated figure among evangelical Christians.",['Mike Huckabee'],[],['Positive'],[],['Direct'],[],[],"[(0, 101)]",Center,['No'],53hpo,53hpo14
53hpo15,53,hpo,['Mike Huckabee'],15,0,1,"He was the longest-serving Arkansas governor, from 1996 to 2007.",['Mike Huckabee'],[],['Positive'],[],['Direct'],[],[],"[(0, 64)]",Center,['No'],53hpo,53hpo15
53hpo16,53,hpo,['Mike Huckabee'],16,0,0,"He made national headlines for losing more than 110 pounds from 2003 to 2006, and he publicly addressed his struggles with weight.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo16
53hpo17,53,hpo,['Mike Huckabee'],17,0,1,"His book, ""Quit Digging Your Grave with a Knife and Fork,"" became a bestseller and he made obesity a major policy initiative as governor.",['Mike Huckabee'],[],['Positive'],[],['Direct'],[],[],"[(0, 137)]",Center,['No'],53hpo,53hpo17
53hpo18,53,hpo,['Mike Huckabee'],18,0,0,"He ran for the GOP presidential nomination in 2008, capturing strong support from evangelical Christians and winning the Iowa caucuses.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo18
53hpo19,53,hpo,['Mike Huckabee'],19,0,0,"But Sen. John McCain (R-Ariz.), won most of the subsequent primaries, and Huckabee withdrew from the race that March.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo19
53hpo20,53,hpo,['Mike Huckabee'],20,0,0,"His supporters expected him to run again in 2012, but he declined.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo20
53hpo21,53,hpo,['Mike Huckabee'],21,1,0,"Since then, he has continued to influence the conservative movement as a charismatic public speaker and radio and television host.",[],['Mike Huckabee'],[],['Positive'],[],['Direct'],"[(73, 84)]",[],Center,[],53hpo,53hpo21
53hpo22,53,hpo,['Mike Huckabee'],22,0,0,Huckabee's religion has played a prominent role in his political career and shaped him as a staunch social conservative.,[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo22
53hpo23,53,hpo,['Mike Huckabee'],23,0,0,"He wrote in his memoir, ""From Hope to Higher Ground,"" that his work as a pastor helps him understand how politics and policy affect people.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo23
53hpo24,53,hpo,['Mike Huckabee'],24,0,0,"""My experience dealing every day with real people who were genuinely affected by policies created by government gave me a deep understanding of the fragility of the human spirit and vulnerability of so many families who struggled from week to week,"" he wrote.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo24
53hpo25,53,hpo,['Mike Huckabee'],25,0,0,"""I was in the ICU at 2 a.m. with families faced with the decision to disconnect a respirator on their loved one; I counseled fifteen-year-old pregnant girls who were afraid to tell their parents about their condition; I spent hours hearing the grief of women who had been physically and emotionally clobbered by an abusive husband.""",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo25
53hpo26,53,hpo,['Mike Huckabee'],26,0,1,"As governor, Huckabee signed a ban on gay marriage (which was overturned by a federal judge last year), and he has been outspoken in his opposition against states legalizing marriage equality.",['Mike Huckabee'],[],['Negative'],[],['Direct'],[],[],"[(0, 192)]",Center,['No'],53hpo,53hpo26
